"","Incident_ID","Incident_date","State","City","Address","No_killed","No_injured","Geo_Address","lon","lat"
"93",177770,2014-08-17,"California","East Palo Alto","Purdue Street and Georgetown Avenue",1,3,"Purdue Street and Georgetown Avenue, East Palo Alto, California",-122.1377406,37.4789729
"94",175839,2014-08-17,"Nevada","Las Vegas","Owens Avenue and H Street",0,4,"Owens Avenue and H Street, Las Vegas, Nevada",-115.1519842,36.1883478
"95",175779,2014-08-16,"New Jersey","Plainfield","West 3rd Street and Monroe Avenue",1,3,"West 3rd Street and Monroe Avenue, Plainfield, New Jersey",-74.4381949,40.6041741
"96",175788,2014-08-16,"Utah","Salt Lake City","122 Pierpont Avenue",0,6,"122 Pierpont Avenue, Salt Lake City, Utah",-111.8949323,40.7640947
"97",174560,2014-08-14,"Tennessee","Memphis","797 Pope Street",1,3,"797 Pope Street, Memphis, Tennessee",-89.956144,35.154015
"98",174544,2014-08-13,"Tennessee","Clarksville","Treeland Drive",0,4,"Treeland Drive, Clarksville, Tennessee",-87.309525,36.589879
"99",175767,2014-08-13,"Louisiana","New Orleans","New Orleans and North Rocheblave streets",0,4,"New Orleans and North Rocheblave streets, New Orleans, Louisiana",-90.0660797,29.9812248
"100",173369,2014-08-12,"New York","Buffalo","Oakmont Ave",1,3,"Oakmont Ave, Buffalo, New York",-78.8078502,42.9323808
"101",173628,2014-08-12,"Georgia","Cartersville","Brent Cir",2,3,"Brent Cir, Cartersville, Georgia",-84.8847095,34.1725389
"102",172304,2014-08-10,"Louisiana","New Orleans","5400 block of Burgundy St",2,5,"5400 block of Burgundy St, New Orleans, Louisiana",-90.019197,29.959362
"103",172205,2014-08-10,"District of Columbia","Washington","50 block of N St SW",0,6,"50 block of N St SW, Washington, District of Columbia",-77.0108573,38.8744857
"104",172288,2014-08-10,"Georgia","Wrightsville","2455 Idylwild Dr",0,6,"2455 Idylwild Dr, Wrightsville, Georgia",-82.7289963,32.7091475
"105",172180,2014-08-10,"California","Moreno Valley","16300 block of Heather Glen Road",0,7,"16300 block of Heather Glen Road, Moreno Valley, California",-117.2217604,33.883616
"106",171802,2014-08-09,"Minnesota","Minneapolis","400 3rd Ave N",1,8,"400 3rd Ave N, Minneapolis, Minnesota",-93.2751811,44.9828835
"107",173786,2014-08-08,"District of Columbia","Washington","2nd St NE and Todd Pl NE",0,4,"2nd St NE and Todd Pl NE, Washington, District of Columbia",-77.0035198,38.9162892
"108",171778,2014-08-08,"Wisconsin","Milwaukee","3000 block of N. 28th Street",0,4,"3000 block of N. 28th Street, Milwaukee, Wisconsin",-87.9483186,43.0735079
"109",171823,2014-08-08,"New Mexico","Albuquerque","3426 Vassar NE",1,3,"3426 Vassar NE, Albuquerque, New Mexico",-106.614901,35.1194254
